nombre,edad,altura,peso,salario,posicion,goles
David Campbell,55,1.78,68,180000,Entrenador,-
John Smith,28,185,80,2000000,Defensa,1
Michael Johnson,25,180,75,1800000,Delantero,3
David White,29,188,82,2200000,Mediocampista,2
Daniel Brown,27,182,78,1900000,Portero,0
Ryan Garcia,23,175,70,1700000,Defensa,0
Matthew Wilson,26,179,73,2100000,Delantero,4
Christopher Martin,24,186,79,2000000,Mediocampista,2
James Thompson,28,181,77,1900000,Defensa,1
Jonathan Martinez,25,177,72,1800000,Delantero,2
Brandon Davis,30,190,85,2200000,Mediocampista,3
Andrew Wilson,27,183,78,2000000,Defensa,1
Tyler Roberts,29,188,82,2200000,Delantero,3
Kyle Johnson,25,180,75,1800000,Mediocampista,2
Ethan Thompson,27,182,78,1900000,Portero,0
Nathan Brown,23,175,70,1700000,Defensa,0
Jordan Garcia,26,179,73,2100000,Delantero,4
Lucas Martin,24,186,79,2000000,Mediocampista,2
Dylan Smith,28,181,77,1900000,Defensa,1
